Country,Date,Forecasted_Projected_Annual_Budget
Mexico,2025-11-30,27812002.733739607
Mexico,2025-12-31,24570382.827228114
Poland,2025-01-31,7314679.507507801
Poland,2025-02-28,7456787.499968046
Poland,2025-03-31,7096421.767657487
Poland,2025-04-30,7293060.787882296
Poland,2025-05-31,7286943.1062081
Poland,2025-06-30,6606813.646468486
Poland,2025-07-31,6680362.393328272
Poland,2025-08-31,7281079.629372771
Poland,2025-09-30,7192435.075577471
Poland,2025-10-31,8762169.21878932
Poland,2025-11-30,8399556.67014261
Poland,2025-12-31,8084645.801287547
South Africa,2025-01-31,4657606.674753271
South Africa,2025-02-28,5250502.038883565
South Africa,2025-03-31,5259805.072446666
South Africa,2025-04-30,5106391.632415165
South Africa,2025-05-31,5241014.4122061655
South Africa,2025-06-30,5010201.1748627415
South Africa,2025-07-31,4971181.584967533
South Africa,2025-08-31,4706756.632101718
South Africa,2025-09-30,5170370.489909424
South Africa,2025-10-31,6722841.244499005
South Africa,2025-11-30,6585329.171106298
South Africa,2025-12-31,5714499.122912665
South Korea,2025-01-31,20632606.052549623
South Korea,2025-02-28,19659188.820305116
South Korea,2025-03-31,20757641.2123055
South Korea,2025-04-30,20259797.37661105
South Korea,2025-05-31,20581338.873389672
South Korea,2025-06-30,19191350.462673247
South Korea,2025-07-31,20072612.762478534
South Korea,2025-08-31,18445840.436664514
South Korea,2025-09-30,20953331.97495241
South Korea,2025-10-31,26094325.9986857
South Korea,2025-11-30,26312625.659578234
South Korea,2025-12-31,24827798.05204659
Spain,2025-01-31,12762112.273560684
Spain,2025-02-28,12772382.871911727
Spain,2025-03-31,13555432.58599348
Spain,2025-04-30,13714785.935056936
Spain,2025-05-31,13835374.67337888
Spain,2025-06-30,13309158.838549811
Spain,2025-07-31,12372425.662705462
Spain,2025-08-31,12857761.541391104
Spain,2025-09-30,13742374.623127855
Spain,2025-10-31,17098466.57274088
Spain,2025-11-30,16600146.086527705
Spain,2025-12-31,16367256.972780269
Thailand,2025-01-31,1640354.5573096368
Thailand,2025-02-28,1682624.7194107831
Thailand,2025-03-31,1502226.5282924504
Thailand,2025-04-30,1306756.8159115345
Thailand,2025-05-31,1692528.7556743643
Thailand,2025-06-30,1202043.7158378074
Thailand,2025-07-31,1399172.3959523982
Thailand,2025-08-31,1154084.93134758
Thailand,2025-09-30,1656632.9667885548
Thailand,2025-10-31,2311742.596263631
Thailand,2025-11-30,2112710.4200038677
Thailand,2025-12-31,1880368.39155516
Turkey,2025-01-31,5296802.868721516
Turkey,2025-02-28,4980367.039125567
Turkey,2025-03-31,4997794.175782852
Turkey,2025-04-30,4853596.715658356
Turkey,2025-05-31,4973612.043326542
Turkey,2025-06-30,4600847.938586001
Turkey,2025-07-31,4851416.40774
Turkey,2025-08-31,4368967.815424594
Turkey,2025-09-30,5137040.226835131
Turkey,2025-10-31,6738600.440197729
Turkey,2025-11-30,6516939.772738998
Turkey,2025-12-31,6198308.7658957485
UAE,2025-01-31,566776.537286895
UAE,2025-02-28,627794.2439714009
UAE,2025-03-31,593581.8419133537
UAE,2025-04-30,574909.6612183433
UAE,2025-05-31,578590.882619537
UAE,2025-06-30,619510.8386074892
UAE,2025-07-31,592097.1040225833
UAE,2025-08-31,561834.4347425285
UAE,2025-09-30,717427.9332535253
UAE,2025-10-31,824206.663690081
UAE,2025-11-30,889529.9941150157
UAE,2025-12-31,747032.6181756611
UK,2025-01-31,76262419.45493424
UK,2025-02-28,73581144.66400479
UK,2025-03-31,77218222.47983995
UK,2025-04-30,75166857.30131814
UK,2025-05-31,73575567.75059325
UK,2025-06-30,72735889.44350474
UK,2025-07-31,74266926.39087652
UK,2025-08-31,72235246.30404018
UK,2025-09-30,77658681.0372916
UK,2025-10-31,93422980.24380998
UK,2025-11-30,95044029.28396827
UK,2025-12-31,90625943.9927946
USA,2025-01-31,197280710.18761066
USA,2025-02-28,196305055.644642
USA,2025-03-31,202437566.36426002
USA,2025-04-30,195910540.70937824
USA,2025-05-31,194081657.23326144
USA,2025-06-30,186158779.90096328
USA,2025-07-31,190314621.87572053
USA,2025-08-31,189314211.26401347
USA,2025-09-30,205858484.57554436
USA,2025-10-31,252108976.6067289
USA,2025-11-30,252039516.5584756
USA,2025-12-31,239245869.33797497
Vietnam,2025-01-31,13667720.026874151
Vietnam,2025-02-28,13387362.818652801
Vietnam,2025-03-31,14040242.580658963
Vietnam,2025-04-30,13977875.065510942
Vietnam,2025-05-31,13643232.65674141
Vietnam,2025-06-30,13820229.335909598
Vietnam,2025-07-31,13900394.751990248
Vietnam,2025-08-31,12027162.89893511
Vietnam,2025-09-30,14268555.441385148
Vietnam,2025-10-31,18142604.080177125
Vietnam,2025-11-30,17381040.506988965
Vietnam,2025-12-31,15324263.798740812
